Trade #,Type,Date and time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2020-03-26,Margin call,6673.6,0.000032,0.2135488,-0.0002,-0.11,0,0.00,-0.0001,-0.06,-0.55,-0.05
1,Entry short,2020-03-25,Short,6673.4,0.000032,0.2135488,-0.0002,-0.11,0,0.00,-0.0001,-0.06,-0.55,-0.05
2,Exit short,2020-03-26,Margin call,6777.5,0.018268,121.9096712,-2.04,-1.67,0,0.00,-1.97,-1.61,-2.52,-0.25
2,Entry short,2020-03-25,Short,6673.4,0.018268,121.9096712,-2.04,-1.67,0,0.00,-1.97,-1.61,-2.52,-0.25
3,Exit short,2020-03-30,Trail S,6391.1,0.131466,877.3252044,36.17,4.12,107.77,12.28,-22.38,-2.55,34.13,3.41
3,Entry short,2020-03-25,Short,6673.4,0.131466,877.3252044,36.17,4.12,107.77,12.28,-22.38,-2.55,34.13,3.41
4,Exit short,2020-04-14,Margin call,6975.6,0.024556,167.815704,-3.66,-2.18,1.95,1.16,-3.57,-2.13,29.99,3.00
4,Entry short,2020-04-13,Short,6834,0.024556,167.815704,-3.66,-2.18,1.95,1.16,-3.57,-2.13,29.99,3.00
5,Exit short,2020-04-22,Exit S,7120.1,0.126682,865.744788,-37.22,-4.30,46.23,5.34,-58.24,-6.72,-6.75,-0.67
5,Entry short,2020-04-13,Short,6834,0.126682,865.744788,-37.22,-4.30,46.23,5.34,-58.24,-6.72,-6.75,-0.67
6,Exit long,2020-05-21,Trail L,9060,0.113848,992.697636,37.65,3.79,140.53,14.15,-65.26,-6.57,30.9,3.09
6,Entry long,2020-05-10,Long,8719.5,0.113848,992.697636,37.65,3.79,140.53,14.15,-65.26,-6.57,30.9,3.09
7,Exit long,2020-06-13,Exit L,9468.5,0.112403,1030.330859,32.8,3.18,149.03,14.46,-61.6,-5.98,63.71,6.37
7,Entry long,2020-05-22,Long,9166.4,0.112403,1030.330859,32.8,3.18,149.03,14.46,-61.6,-5.98,63.71,6.37
8,Exit long,2020-06-30,Exit L,9138.9,0.110377,1063.118151,-55.53,-5.22,4.53,0.43,-90.58,-8.52,8.18,0.82
8,Entry long,2020-06-23,Long,9631.7,0.110377,1063.118151,-55.53,-5.22,4.53,0.43,-90.58,-8.52,8.18,0.82
9,Exit long,2020-07-17,Exit L,9151.7,0.108831,1007.611813,-12.73,-1.26,22.46,2.23,-23.9,-2.37,-4.55,-0.46
9,Entry long,2020-07-07,Long,9258.5,0.108831,1007.611813,-12.73,-1.26,22.46,2.23,-23.9,-2.37,-4.55,-0.46
10,Exit long,2020-08-02,Trail L,11079.7,0.105976,994.902688,178.09,17.89,292.61,29.40,-12.84,-1.29,173.54,17.35
10,Entry long,2020-07-21,Long,9388,0.105976,994.902688,178.09,17.89,292.61,29.40,-12.84,-1.29,173.54,17.35
11,Exit long,2020-08-28,Exit L,11526.9,0.10165,1172.888525,-2.47,-0.21,29.19,2.49,-42.17,-3.59,171.07,17.11
11,Entry long,2020-08-21,Long,11538.5,0.10165,1172.888525,-2.47,-0.21,29.19,2.49,-42.17,-3.59,171.07,17.11
12,Exit long,2020-09-08,Exit L,10129,0.098105,1170.412271,-177.9,-15.19,2.38,0.20,-208.78,-17.83,-6.83,-0.68
12,Entry long,2020-09-01,Long,11930.2,0.098105,1170.412271,-177.9,-15.19,2.38,0.20,-208.78,-17.83,-6.83,-0.68
13,Exit long,2020-09-23,Exit L,10237.9,0.092107,992.6187176,-50.7,-5.10,36.32,3.66,-59.92,-6.03,-57.53,-5.75
13,Entry long,2020-09-15,Long,10776.8,0.092107,992.6187176,-50.7,-5.10,36.32,3.66,-59.92,-6.03,-57.53,-5.75
14,Exit long,2020-10-04,Exit L,10660.2,0.087476,941.941568,-10.46,-1.11,21.88,2.32,-35.25,-3.74,-67.99,-6.80
14,Entry long,2020-09-27,Long,10768,0.087476,941.941568,-10.46,-1.11,21.88,2.32,-35.25,-3.74,-67.99,-6.80
15,Exit long,2020-11-26,Trail L,17155.3,0.085305,931.4879475,530.63,56.93,736.07,78.98,-9.14,-0.98,462.64,46.26
15,Entry long,2020-10-08,Long,10919.5,0.085305,931.4879475,530.63,56.93,736.07,78.98,-9.14,-0.98,462.64,46.26
16,Exit long,2020-12-04,Trail L,18664.2,0.085267,1461.825975,127.94,8.75,238.96,16.34,-24.53,-1.68,590.57,59.06
16,Entry long,2020-11-27,Long,17144.1,0.085267,1461.825975,127.94,8.75,238.96,16.34,-24.53,-1.68,590.57,59.06
17,Exit long,2021-01-10,Trail L,38221.7,0.086777,1589.693896,1724.37,108.41,2064.96,129.83,-67.2,-4.22,2314.94,231.49
17,Entry long,2020-12-08,Long,18319.3,0.086777,1589.693896,1724.37,108.41,2064.96,129.83,-67.2,-4.22,2314.94,231.49
18,Exit long,2021-02-22,Trail L,54121.1,0.093316,3313.100596,1732.66,52.27,2141.46,64.60,-10.6,-0.32,4047.61,404.76
18,Entry long,2021-02-02,Long,35504.1,0.093316,3313.100596,1732.66,52.27,2141.46,64.60,-10.6,-0.32,4047.61,404.76
19,Exit long,2021-03-02,Exit L,48450.6,0.103103,5044.82979,-54.95,-1.09,327.67,6.49,-613.96,-12.16,3992.66,399.27
19,Entry long,2021-02-23,Long,48930,0.103103,5044.82979,-54.95,-1.09,327.67,6.49,-613.96,-12.16,3992.66,399.27
20,Exit long,2021-03-15,Trail L,55646.6,0.09785,4989.890105,449.39,9.00,1069.17,21.42,-167.65,-3.36,4442.05,444.20
20,Entry long,2021-03-07,Long,50995.3,0.09785,4989.890105,449.39,9.00,1069.17,21.42,-167.65,-3.36,4442.05,444.20
21,Exit long,2021-04-17,Trail L,60090.1,0.100482,5439.050467,592.61,10.89,1087.89,19.99,-372.51,-6.85,5034.66,503.47
21,Entry long,2021-03-22,Long,54129.6,0.100482,5439.050467,592.61,10.89,1087.89,19.99,-372.51,-6.85,5034.66,503.47
22,Exit long,2021-05-05,Margin call,53263.3,0.000264,15.2687832,-1.22,-8.01,0.31,2.05,-1.26,-8.25,5030.13,503.01
22,Entry long,2021-05-01,Long,57836.3,0.000264,15.2687832,-1.22,-8.01,0.31,2.05,-1.26,-8.25,5030.13,503.01
23,Exit long,2021-05-13,Exit L,49707.9,0.104018,6016.016253,-851.06,-14.15,185.95,3.09,-1275.6,-21.21,4182.38,418.24
23,Entry long,2021-05-01,Long,57836.3,0.104018,6016.016253,-851.06,-14.15,185.95,3.09,-1275.6,-21.21,4182.38,418.24
24,Exit short,2021-06-18,Margin call,38060.7,0.000048,1.8269136,-0.002,-0.11,0,0.00,-0.001,-0.05,4179.53,417.95
24,Entry short,2021-06-17,Short,38060.7,0.000048,1.8269136,-0.002,-0.11,0,0.00,-0.001,-0.05,4179.53,417.95
25,Exit short,2021-06-18,Margin call,38198,0.003768,143.4127176,-0.68,-0.47,0,0.00,-0.6,-0.42,4178.93,417.89
25,Entry short,2021-06-17,Short,38060.7,0.003768,143.4127176,-0.68,-0.47,0,0.00,-0.6,-0.42,4178.93,417.89
26,Exit short,2021-06-23,Trail S,33649,0.132269,5034.250728,578.49,11.48,1224.66,24.32,-20.93,-0.42,4760.19,476.02
26,Entry short,2021-06-17,Short,38060.7,0.132269,5034.250728,578.49,11.48,1224.66,24.32,-20.93,-0.42,4760.19,476.02
27,Exit short,2021-07-01,Margin call,35031.4,0.00006,2.101884,-0.002,-0.11,0,0.00,-0.001,-0.05,4757.02,475.70
27,Entry short,2021-06-30,Short,35031.4,0.00006,2.101884,-0.002,-0.11,0,0.00,-0.001,-0.05,4757.02,475.70
28,Exit short,2021-07-01,Margin call,35045,0.000332,11.6304248,-0.02,-0.15,0,0.00,-0.01,-0.09,4757.01,475.70
28,Entry short,2021-06-30,Short,35031.4,0.000332,11.6304248,-0.02,-0.15,0,0.00,-0.01,-0.09,4757.01,475.70
29,Exit short,2021-07-04,Margin call,35955.6,0.032244,1129.552462,-31.06,-2.75,75.47,6.68,-30.43,-2.69,4726.57,472.66
29,Entry short,2021-06-30,Short,35031.4,0.032244,1129.552462,-31.06,-2.75,75.47,6.68,-30.43,-2.69,4726.57,472.66
30,Exit short,2021-07-21,Trail S,32120,0.131686,4613.14494,378.56,8.20,759.82,16.46,-124.27,-2.69,5107.67,510.77
30,Entry short,2021-06-30,Short,35031.4,0.131686,4613.14494,378.56,8.20,759.82,16.46,-124.27,-2.69,5107.67,510.77
31,Exit long,2021-08-28,Margin call,49082.1,0.000196,9.1832076,0.43,4.64,0.46,4.99,-0.1,-1.11,5104.74,510.47
31,Entry long,2021-08-26,Long,46853.1,0.000196,9.1832076,0.43,4.64,0.46,4.99,-0.1,-1.11,5104.74,510.47
32,Exit long,2021-09-07,Trail L,46864.4,0.130051,6093.292508,-5.24,-0.09,789.87,12.95,-623.31,-10.22,5102.86,510.29
32,Entry long,2021-08-26,Long,46853.1,0.130051,6093.292508,-5.24,-0.09,789.87,12.95,-623.31,-10.22,5102.86,510.29
33,Exit long,2021-09-23,Margin call,43520,0.000164,7.9187728,-0.79,-9.97,0.01,0.11,-1.44,-18.23,5098.72,509.87
33,Entry long,2021-09-18,Long,48285.2,0.000164,7.9187728,-0.79,-9.97,0.01,0.11,-1.44,-18.23,5098.72,509.87
34,Exit long,2021-09-25,Exit L,42651.6,0.126133,6090.357132,-717.46,-11.76,6.67,0.11,-1110.67,-18.23,4384.61,438.46
34,Entry long,2021-09-18,Long,48285.2,0.126133,6090.357132,-717.46,-11.76,6.67,0.11,-1110.67,-18.23,4384.61,438.46
35,Exit long,2021-10-02,Margin call,48123.9,0.000128,6.1598592,-0.01,-0.11,0,0.00,-0.003,-0.05,4381.64,438.16
35,Entry long,2021-10-01,Long,48123.9,0.000128,6.1598592,-0.01,-0.11,0,0.00,-0.003,-0.05,4381.64,438.16
36,Exit long,2021-10-21,Trail L,62260.3,0.111678,5374.380904,1572.1,29.23,2122.48,39.46,-141.36,-2.63,5956.7,595.67
36,Entry long,2021-10-01,Long,48123.9,0.111678,5374.380904,1572.1,29.23,2122.48,39.46,-141.36,-2.63,5956.7,595.67
37,Exit long,2021-10-28,Margin call,58449.4,0.000472,27.5881168,-0.03,-0.11,0,0.00,-0.02,-0.05,5952.86,595.29
37,Entry long,2021-10-27,Long,58449.4,0.000472,27.5881168,-0.03,-0.11,0,0.00,-0.02,-0.05,5952.86,595.29
38,Exit long,2021-11-12,Trail L,64156.1,0.118459,6923.857475,668.36,9.64,1269.67,18.33,-110.48,-1.59,6625.03,662.50
